"id","password","date_joined","last_login","email","first_name","last_name","age","address","phone_number","is_active","is_admin","is_staff","profile_pic"
1,pbkdf2_sha256$720000$sVUNoCRMhFsoR36S1ex11g$AZUT0Jd5Bxsv0Z7KaR4J9rZEr2ng5qo38nnU9qBMUWc=,2024-03-01 13:46:39.385 +0545,2024-03-01 15:33:49.268 +0545,admin@admin.com,ad,min,12,ktm,999,true,true,true,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
2,password1,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user1@example.com,John,Doe,25,"123 Main St, City",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
3,password2,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user2@example.com,Jane,Doe,30,"456 Elm St, Town",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
4,password3,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user3@example.com,Alice,Smith,40,"789 Oak St, Village",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
5,password4,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user4@example.com,Bob,Johnson,22,"101 Pine St, Hamlet",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
6,password5,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user5@example.com,Emily,Brown,35,"202 Maple St, Countryside",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
7,password6,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user6@example.com,Michael,Wilson,28,"303 Cedar St, Suburb",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
8,password7,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user7@example.com,Sarah,Taylor,45,"404 Birch St, City",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
9,password8,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user8@example.com,David,Lee,50,"505 Oak St, Town",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
10,password9,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user9@example.com,Laura,Miller,27,"606 Pine St, Village",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
11,password10,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user10@example.com,Matthew,Clark,33,"707 Elm St, Hamlet",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
12,password11,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user11@example.com,Jennifer,White,29,"808 Maple St, Countryside",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
13,password12,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user12@example.com,Chris,Martin,39,"909 Cedar St, Suburb",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
14,password13,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user13@example.com,Amanda,Harris,31,"1010 Birch St, City",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
15,password14,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user14@example.com,Daniel,Anderson,42,"1111 Oak St, Town",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
16,password15,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user15@example.com,Jessica,Martinez,26,"1212 Pine St, Village",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
17,password16,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user16@example.com,James,Thompson,37,"1313 Elm St, Hamlet",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
18,password17,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user17@example.com,Michelle,Garcia,32,"1414 Maple St, Countryside",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
19,password18,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user18@example.com,Kevin,Lopez,34,"1515 Cedar St, Suburb",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
20,password19,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user19@example.com,Stephanie,Young,38,"1616 Birch St, City",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
21,password20,2024-03-06 21:38:48.422 +0545,2024-03-06 21:38:48.422 +0545,user20@example.com,Ryan,Hill,41,"1717 Oak St, Town",,true,false,false,/upload/profile_pic/default/Default-Profile-Picture-Transparent-Image.png
